Industry,Industry Segment,Source,Notes,CF,"Industry Segment Revenue
,Enterprise Portals,,,,,,,,,,,,,,,,,,,,,,,,,
,Graphics & Video Processing,,,,,,,,,,,,,,,,,,,,,,,,,
,Industrial Software,,"Workflow Solutions, Vocollect Voice Solutions",High,1122,629,629,288,189,137,31,21,,,,,,,,,,,,,,
,Information Access and Delivery,,,,,,,,,,,,,,,,,,,,,,,,,
,Internet and Web Software,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobile Applications and Software,,"Enterprise Mobility, Productivity Software and Tools",Low,704,395,395,181,118,86,19,13,,,,,,,,,,,,,,
,Network Management,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Systems & Subsystems,,,,,,,,,,,,,,,,,,,,,,,,,
,Search and Data Mining,,,,,,,,,,,,,,,,,,,,,,,,,
,Security,,,,,,,,,,,,,,,,,,,,,,,,,
,Server Software,,,,,,,,,,,,,,,,,,,,,,,,,
,Social Media and Networks,,,,,,,,,,,,,,,,,,,,,,,,,
,Speech recognition and analysis,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Software,,,,,,,,,,,,,,,,,,,,,,,,,
,System Management,,,,,,,,,,,,,,,,,,,,,,,,,
,User Interface,,,,,,,,,,,,,,,,,,,,,,,,,
,Video Games,,,,,,,,,,,,,,,,,,,,,,,,,
,Virtual Reality,,,,,,,,,,,,,,,,,,,,,,,,,
,Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,
Storage Systems and Equipments,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direct Attached Storage,,,,,,,,,,,,,,,,,,,,,,,,,
,Network Attached Storage,,,,,,,,,,,,,,,,,,,,,,,,,
,Portable Storage,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Area Network,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Drives,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Media,,,,,,,,,,,,,,,,,,,,,,,,,
,Tape Libraries/Automation,,,,,,,,,,,,,,,,,,,,,,,,,
Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antennas,,,,,,,,,,,,,,,,,,,,,,,,,
,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Cards & Devices,,,,,,,,,,,,,,,,,,,,,,,,,
,RFID,,"RFID Readers, RFID Tags, RFID Antennas",Low,4701,2293,2293,1175,1134,826,185,123,,,,,,,,,,,,,,
,Satellite Systems,,,,,,,,,,,,,,,,,,,,,,,,,
,WLAN,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commercial Aviation Original Equipment,,"Auxiliary Power Units, Electric Power Systems, Engine System Accessories, Flight Cockpit Recorders, Wheels, Brakes",Low,8910,4995,4995,2286,1499,1092,244,163,,,,,,,,,,,,,,
,Commercial Aviation Aftermarket,,"Spare Parts, Repair, Overhaul, and Maintenance Services",Low,20298,11379,11379,5208,3415,2487,557,371,,,,,,,,,,,,,,
,Defense and Space,,"Avionics, Actuation, Engines",Low,13751,7708,7708,3528,2313,1685,377,251,,,,,,,,,,,,,,
,Transportation Systems,,"Turbochargers, Brakepads",Low,12522,7019,7019,3213,2106,1534,343,229,,,,,,,,,,,,,,
Home and Building Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,
,Home and Building Products,,"Building Automation Hardware, Air Flow Control Systems",Low,3703,2076,2076,950,624,454,102,68,,,,,,,,,,,,,,
,Home and Building Distribution,,"Fans, Heaters, Radiator Controls, Air Conditioners, ADI Global Distribution",Low,19288,10812,10812,4949,3245,2363,529,353,,,,,,,,,,,,,,
Perfomance Materials and Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,
,UOP,,"Modular Gas Plants (Installation Solutions), Natural Gas Conditioning, Gas Processing",Low,10951,6139,6139,2810,1842,1342,300,200,,,,,,,,,,,,,,
,Process Solutions,,"Food and Beverage Processing Systems, Advanced Fibers and Composites, Anti-Graffiti Barrier Films, Quality Control Systems, Renewable Energy from Biomass",Low,19073,10692,10692,4894,3209,2337,523,349,,,,,,,,,,,,,,
,Advanced Materials,,"Catalysts, Refrigerants, Fine Chemicals",Low,9889,5543,5543,2537,1664,1212,271,181,,,,,,,,,,,,,,
Safety and Productivity Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Safety,,"Protective Equipment, Footwear",Low,8628,4836,4836,2214,1452,1057,237,158,,,,,,,,,,,,,,
